gid,LAT,LONG,survey_id,count,surveyyear,geom
77426,39.95736249700,-75.57505707130,96,1,2019,POINT(-75.5750570713 39.957362497)
77427,39.98118998460,-75.31555896350,96,1,2019,POINT(-75.3155589635 39.9811899846)
77428,40.01633098760,-75.24894001690,96,1,2019,POINT(-75.2489400169 40.0163309876)
77429,40.06293298740,-75.33898001300,96,1,2019,POINT(-75.338980013 40.0629329874)
77430,40.06435799420,-75.25488203220,96,1,2019,POINT(-75.2548820322 40.0643579942)
77431,40.06562097910,-75.25644701690,96,1,2019,POINT(-75.2564470169 40.0656209791)
77432,40.06731701560,-75.26093804100,96,1,2019,POINT(-75.260938041 40.0673170156)
77433,40.07123698000,-75.24279398550,96,1,2019,POINT(-75.2427939855 40.07123698)
77434,40.07312500380,-75.24408999620,96,1,2019,POINT(-75.2440899962 40.0731250038)
77435,40.07513200900,-75.27934897530,96,1,2019,POINT(-75.2793489753 40.075132009)
77436,40.07533416560,-75.19320829190,96,1,2019,POINT(-75.1932082919 40.0753341656)
77437,40.07689597980,-75.27623501410,96,1,2019,POINT(-75.2762350141 40.0768959798)
77438,40.07764699870,-75.30890096660,96,1,2019,POINT(-75.3089009666 40.0776469987)
77439,40.07843401830,-75.25692302530,96,1,2019,POINT(-75.2569230253 40.0784340183)
77440,40.08005101190,-75.26046999510,96,1,2019,POINT(-75.2604699951 40.0800510119)
77441,40.08046998220,-75.29359301340,96,1,2019,POINT(-75.2935930134 40.0804699822)
77442,40.08051901570,-75.29368496270,96,1,2019,POINT(-75.2936849627 40.0805190157)
77443,40.08117100220,-75.26460403400,96,1,2019,POINT(-75.264604034 40.0811710022)
77444,40.08167098320,-75.23931398790,96,1,2019,POINT(-75.2393139879 40.0816709832)
77445,40.08228898060,-75.29278801550,96,1,2019,POINT(-75.2927880155 40.0822889806)
77446,40.08284000660,-75.25675203360,96,1,2019,POINT(-75.2567520336 40.0828400066)
77447,40.08301099820,-75.25869303240,96,1,2019,POINT(-75.2586930324 40.0830109982)
77448,40.08334401100,-75.25990999990,96,1,2019,POINT(-75.2599099999 40.083344011)
77449,40.08361001040,-75.27616896410,96,1,2019,POINT(-75.2761689641 40.0836100104)
77450,40.08363301910,-75.27609796970,96,1,2019,POINT(-75.2760979697 40.0836330191)
77451,40.08391599160,-75.26123903490,96,1,2019,POINT(-75.2612390349 40.0839159916)
77452,40.08386398220,-75.30783504050,96,1,2019,POINT(-75.3078350405 40.0838639822)
77453,40.08396699620,-75.29206700450,96,1,2019,POINT(-75.2920670045 40.0839669962)
77454,40.08469798120,-75.27566202660,96,1,2019,POINT(-75.2756620266 40.0846979812)
77455,40.08492500530,-75.26752102050,96,1,2019,POINT(-75.2675210205 40.0849250053)
77456,40.08497299210,-75.25559097330,96,1,2019,POINT(-75.2555909733 40.0849729921)
77457,40.08520600910,-75.25621198820,96,1,2019,POINT(-75.2562119882 40.0852060091)
77458,40.08525001410,-75.29834999460,96,1,2019,POINT(-75.2983499946 40.0852500141)
77459,40.08579999160,-75.26015600850,96,1,2019,POINT(-75.2601560085 40.0857999916)
77460,40.08573901410,-75.30258302440,96,1,2019,POINT(-75.3025830244 40.0857390141)
77461,40.08607299130,-75.25452596740,96,1,2019,POINT(-75.2545259674 40.0860729913)
77462,40.08621200530,-75.33109197170,96,1,2019,POINT(-75.3310919717 40.0862120053)
77463,40.08663197960,-75.24587299460,96,1,2019,POINT(-75.2458729946 40.0866319796)
77464,40.08665398240,-75.26024301240,96,1,2019,POINT(-75.2602430124 40.0866539824)
77465,40.08822999010,-75.30797401250,96,1,2019,POINT(-75.3079740125 40.0882299901)
77466,40.08862800360,-75.25025002380,96,1,2019,POINT(-75.2502500238 40.0886280036)
77467,40.08921498910,-75.27454002550,96,1,2019,POINT(-75.2745400255 40.0892149891)
77468,40.08944398340,-75.23836197090,96,1,2019,POINT(-75.2383619709 40.0894439834)
77469,40.08959100130,-75.28526802250,96,1,2019,POINT(-75.2852680225 40.0895910013)
77470,40.08964900430,-75.26283796740,96,1,2019,POINT(-75.2628379674 40.0896490043)
77471,40.08968399770,-75.26474300590,96,1,2019,POINT(-75.2647430059 40.0896839977)
77472,40.08985800690,-75.29135797860,96,1,2019,POINT(-75.2913579786 40.0898580069)
77473,40.09058098800,-75.28459998620,96,1,2019,POINT(-75.2845999862 40.090580988)
77474,40.09156301210,-75.24359797800,96,1,2019,POINT(-75.243597978 40.0915630121)
77475,40.09227300070,-75.25144603830,96,1,2019,POINT(-75.2514460383 40.0922730007)
77476,40.09234500080,-75.28326097670,96,1,2019,POINT(-75.2832609767 40.0923450008)
77477,40.09236901540,-75.28873997520,96,1,2019,POINT(-75.2887399752 40.0923690154)
77478,40.09251699810,-75.25448498100,96,1,2019,POINT(-75.254484981 40.0925169981)
77479,40.09341700500,-75.23894803360,96,1,2019,POINT(-75.2389480336 40.093417005)
77480,40.09401899320,-75.25261900190,96,1,2019,POINT(-75.2526190019 40.0940189932)
77481,40.09411798310,-75.29221502770,96,1,2019,POINT(-75.2922150277 40.0941179831)
77482,40.09477600490,-75.25134000710,96,1,2019,POINT(-75.2513400071 40.0947760049)
77483,40.09647099280,-75.27391599310,96,1,2019,POINT(-75.2739159931 40.0964709928)
77484,40.09687198300,-75.29086696730,96,1,2019,POINT(-75.2908669673 40.096871983)
77485,40.09805701670,-75.25055898120,96,1,2019,POINT(-75.2505589812 40.0980570167)
77486,40.09862501590,-75.28049000310,96,1,2019,POINT(-75.2804900031 40.0986250159)
77487,40.09869701690,-75.28732100330,96,1,2019,POINT(-75.2873210033 40.0986970169)
77488,40.10082199700,-75.27340000290,96,1,2019,POINT(-75.2734000029 40.100821997)
77489,40.10096998010,-75.28125602490,96,1,2019,POINT(-75.2812560249 40.1009699801)
77490,40.10117600720,-75.28701598530,96,1,2019,POINT(-75.2870159853 40.1011760072)
77491,40.10247201660,-75.28432397020,96,1,2019,POINT(-75.2843239702 40.1024720166)
77492,40.10938800880,-75.30096900450,96,1,2019,POINT(-75.3009690045 40.1093880088)
77493,40.10961297880,-75.30002201660,96,1,2019,POINT(-75.3000220166 40.1096129788)
77494,40.11269198670,-75.34150598350,96,1,2019,POINT(-75.3415059835 40.1126919867)
77495,40.11410500930,-75.32723001010,96,1,2019,POINT(-75.3272300101 40.1141050093)
77496,40.11569501400,-75.31907601050,96,1,2019,POINT(-75.3190760105 40.115695014)
77497,40.11679798760,-75.28936199560,96,1,2019,POINT(-75.2893619956 40.1167979876)
77498,40.12151100690,-75.33301000310,96,1,2019,POINT(-75.3330100031 40.1215110069)
77499,40.12255501500,-75.29298901320,96,1,2019,POINT(-75.2929890132 40.122555015)
77500,40.12354001370,-75.30444699110,96,1,2019,POINT(-75.3044469911 40.1235400137)
77501,40.12820198690,-75.29216498750,96,1,2019,POINT(-75.2921649875 40.1282019869)
77502,40.12950000810,-75.29052297450,96,1,2019,POINT(-75.2905229745 40.1295000081)
77503,40.12997199260,-75.28714003740,96,1,2019,POINT(-75.2871400374 40.1299719926)
77504,40.13353798990,-75.24773302320,96,1,2019,POINT(-75.2477330232 40.1335379899)
77505,40.13710101140,-75.30331702670,96,1,2019,POINT(-75.3033170267 40.1371010114)
77506,40.14989900440,-75.37036697210,96,1,2019,POINT(-75.3703669721 40.1498990044)
77507,40.15374801640,-75.41039801890,96,1,2019,POINT(-75.4103980189 40.1537480164)
77508,40.17136698630,-75.29460898360,96,1,2019,POINT(-75.2946089836 40.1713669863)
77509,40.18648500600,-75.25939702820,96,1,2019,POINT(-75.2593970282 40.186485006)
77510,40.24960798720,-75.39805298500,96,1,2019,POINT(-75.398052985 40.2496079872)
77511,40.53618001800,-75.55395998840,96,1,2019,POINT(-75.5539599884 40.536180018)
